JLPT,Example Words,Onyomi,Word,Reading,Word Type,Example Sentence EN,breakdown,type,Lesson,Meaning,Kanji,Example Sentence JP,Kunyomi
N5,,,曇り,くもり,Noun,Today is cloudy.,"{""vocabulary"": [{""word"": ""今日"", ""reading"": ""きょう"", ""meaning"": ""today"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""曇り"", ""reading"": ""くもり"", ""meaning"": ""cloudy"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes the weather condition for the current day, indicating that it is cloudy. It provides a simple observation about the state of the weather."", ""steps"": [""**今日** - Refers to the current day, establishing the time frame."", ""**は** - Marks “今日” as the topic of the sentence."", ""**曇り** - Indicates the weather condition, meaning “cloudy.”"", ""**です** - A polite ending particle that functions as the copula, linking the subject to the predicate.""], ""sentence_pattern"": ""- [Topic] + [は] + [Noun] + [です]\n- **Kanji**: 明日は晴れです。\n- **Hiragana**: あしたははれです。\n- **English Translation**: Tomorrow is sunny."", ""sentence_pattern_kanji"": ""明日は晴れです。"", ""sentence_pattern_hiragana"": ""あしたははれです。"", ""sentence_pattern_english"": ""Tomorrow is sunny."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which is often the subject. In this case, it emphasizes that we are talking about \""today.\"""", ""common_mistake"": ""Beginners may confuse the use of です with other verbs. Remember that です is used to link the subject with a noun or adjective in a polite manner."", ""alternative_expression"": {""kanji"": ""今日は曇っています。"", ""hiragana"": ""きょうはくもっています。"", ""english"": ""It is cloudy today.""}, ""new_words_in_alternative"": [{""word"": ""曇っている"", ""reading"": ""くもっている"", ""meaning"": ""is cloudy"", ""description"": ""Verb, continuous form""}]}}",Vocab,10,"cloudiness, cloudy weather",,今日は曇りです。,
N5,,,問題,もんだい,Noun,This problem is easy.,"{""vocabulary"": [{""word"": ""この"", ""reading"": ""この"", ""meaning"": ""this"", ""role"": ""Demonstrative adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""問題"", ""reading"": ""もんだい"", ""meaning"": ""problem"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""簡単"", ""reading"": ""かんたん"", ""meaning"": ""easy"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence states that a particular problem is easy. It is a simple declarative sentence that expresses the speaker's opinion about the difficulty of the problem."", ""steps"": [""**この** - Specifies the problem being referred to, indicating it is close to the speaker."", ""**問題** - The subject of the sentence, meaning \""problem.\"""", ""**は** - Marks “問題” as the topic of the sentence."", ""**簡単** - Describes the quality of the problem, meaning \""easy.\"""", ""**です** - A polite ending particle that functions as the verb \""to be,\"" linking the subject and the adjective.""], ""sentence_pattern"": ""- [Demonstrative] + [Noun] + [は] + [Adjective] + [です]\n- **Kanji**: その問題は難しいです。\n- **Hiragana**: そのもんだいはむずかしいです。\n- **English Translation**: That problem is difficult."", ""sentence_pattern_kanji"": ""その問題は難しいです。"", ""sentence_pattern_hiragana"": ""そのもんだいはむずかしいです。"", ""sentence_pattern_english"": ""That problem is difficult."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which helps you focus on what the sentence is about. In this case, it indicates that the sentence is about \""this problem.\"""", ""common_mistake"": ""Beginners often confuse です with other verbs. Remember that です is used to link the subject with a description or state of being, especially in polite speech."", ""alternative_expression"": {""kanji"": ""この問題は易しいです。"", ""hiragana"": ""このもんだいはやさしいです。"", ""english"": ""This problem is easy.""}, ""new_words_in_alternative"": [{""word"": ""易しい"", ""reading"": ""やさしい"", ""meaning"": ""easy"", ""description"": ""Adjective""}]}}",Vocab,10,a problem,,この問題は簡単です。,
N5,,,上着,うわぎ,Noun,"It's cold today, so I will wear a coat.","{""vocabulary"": [{""word"": ""今日"", ""reading"": ""きょう"", ""meaning"": ""today"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""寒い"", ""reading"": ""さむい"", ""meaning"": ""cold"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""ので"", ""reading"": ""ので"", ""meaning"": ""because"", ""role"": ""Conjunction"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""上着"", ""reading"": ""うわぎ"", ""meaning"": ""coat"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""着ます"", ""reading"": ""きます"", ""meaning"": ""will wear"", ""role"": ""Verb, polite form"", ""components"": [{""part"": ""着る"", ""reading"": ""きる"", ""meaning"": ""to wear"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence conveys that the speaker feels cold today and has decided to wear a coat as a result. It connects the feeling of coldness with the action of putting on a coat."", ""steps"": [""**今日** - Refers to the current day, marking the time context."", ""**は** - Marks “今日” as the topic of the sentence."", ""**寒い** - Describes the weather condition as cold."", ""**ので** - Indicates a reason or cause, linking the cold weather to the action that follows."", ""**上着** - Refers to the item of clothing (coat) that will be worn."", ""**を** - Marks “上着” as the object of the verb."", ""**着ます** - The polite form of “着る,” indicating the action of wearing in a respectful manner.""], ""sentence_pattern"": ""- [Topic] + [は] + [Adjective] + [ので] + [Object] + [を] + [Verb (polite form)]\n- **Kanji**: 明日は暑いので、短パンを履きます。\n- **Hiragana**: あしたはあついので、たんぱんをはきます。\n- **English Translation**: It's hot tomorrow, so I will wear shorts."", ""sentence_pattern_kanji"": ""明日は暑いので、短パンを履きます。"", ""sentence_pattern_hiragana"": ""あしたはあついので、たんぱんをはきます。"", ""sentence_pattern_english"": ""It's hot tomorrow, so I will wear shorts."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that ので is used to express a reason or cause, making it a useful connector in sentences that explain why something is happening."", ""common_mistake"": ""Beginners often confuse ので with から. While both can indicate a reason, ので is more polite and is often used in formal contexts."", ""alternative_expression"": {""kanji"": ""今日は寒いから、上着を着ます。"", ""hiragana"": ""きょうはさむいから、うわぎをきます。"", ""english"": ""It's cold today, so I will wear a coat.""}, ""new_words_in_alternative"": [{""word"": ""から"", ""reading"": ""から"", ""meaning"": ""because"", ""description"": ""Conjunction""}]}}",Vocab,10,"coat, jacket",,今日は寒いので、上着を着ます。,
N5,,,台所,だいどころ,Noun,I cook in the kitchen.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""台所"", ""reading"": ""だいどころ"", ""meaning"": ""kitchen"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""で"", ""reading"": ""で"", ""meaning"": ""[Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""料理"", ""reading"": ""りょうり"", ""meaning"": ""cooking"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""します"", ""reading"": ""します"", ""meaning"": ""do / make"", ""role"": ""Verb, polite form"", ""components"": [{""part"": ""する"", ""reading"": ""する"", ""meaning"": ""to do"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses a simple action where the speaker indicates that they perform the activity of cooking in the kitchen. It establishes both the subject and the location of the action."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**台所** - Indicates the location where the action takes place, meaning “kitchen.”"", ""**で** - Indicates the location marker, meaning “in” or “at.”"", ""**料理** - Refers to the action of cooking."", ""**を** - Marks “料理” as the object of the verb."", ""**します** - The polite form of “する,” indicating the action of cooking.""], ""sentence_pattern"": ""- [Subject] + [は] + [Location] + [で] + [Object] + [を] + [Verb (polite form)]\n- **Kanji**: 彼は公園で遊びます。\n- **Hiragana**: かれはこうえんであそびます。\n- **English Translation**: He plays in the park."", ""sentence_pattern_kanji"": ""彼は公園で遊びます。"", ""sentence_pattern_hiragana"": ""かれはこうえんであそびます。"", ""sentence_pattern_english"": ""He plays in the park."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while で indicates the location where the action occurs. This helps clarify who is doing what and where."", ""common_mistake"": ""Beginners often confuse the use of を and が. In this context, を is used to mark the direct object of the verb (料理), while が is typically used for the subject of a sentence."", ""alternative_expression"": {""kanji"": ""私はキッチンで料理をします。"", ""hiragana"": ""わたしはきっちんでりょうりをします。"", ""english"": ""I cook in the kitchen.""}, ""new_words_in_alternative"": [{""word"": ""キッチン"", ""reading"": ""きっちん"", ""meaning"": ""kitchen"", ""description"": ""Noun""}]}}",Vocab,10,kitchen,,私は台所で料理をします。,
N5,,,黒い,くろい,I-adjective (keiyoushi),His car is black.,"{""vocabulary"": [{""word"": ""彼の"", ""reading"": ""かれの"", ""meaning"": ""his"", ""role"": ""Pronoun, possessive"", ""components"": [{""part"": ""彼"", ""reading"": ""かれ"", ""meaning"": ""he"", ""contribution"": ""Pronoun""}], ""combined_explanation"": """"}, {""word"": ""車"", ""reading"": ""くるま"", ""meaning"": ""car"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""黒い"", ""reading"": ""くろい"", ""meaning"": ""black"", ""role"": ""Adjective"", ""components"": [{""part"": ""黒"", ""reading"": ""くろ"", ""meaning"": ""black"", ""contribution"": ""Noun/Adjective root""}], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Polite copula]"", ""role"": ""Auxiliary verb"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes the ownership and color of a car belonging to a male individual. It provides a straightforward statement about the car's characteristics."", ""steps"": [""**彼の** - Indicates possession, meaning \""his.\"""", ""**車** - The subject of the sentence, meaning \""car.\"""", ""**は** - Marks \""車\"" as the topic of the sentence."", ""**黒い** - Describes the color of the car."", ""**です** - Polite ending that indicates the state of being.""], ""sentence_pattern"": ""- [Possessor] + [の] + [Topic] + [は] + [Adjective] + [です]\n- **Kanji**: 彼の犬は大きいです。\n- **Hiragana**: かれのいぬはおおきいです。\n- **English Translation**: His dog is big."", ""sentence_pattern_kanji"": ""彼の犬は大きいです。"", ""sentence_pattern_hiragana"": ""かれのいぬはおおきいです。"", ""sentence_pattern_english"": ""His dog is big."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that の indicates possession. When you see 彼の, think of it as \""his\"" to connect the owner with the item."", ""common_mistake"": ""Beginners often confuse the topic marker は with the subject marker が. In this sentence, は is used to indicate the topic (the car), while が would be used if we were emphasizing the subject."", ""alternative_expression"": {""kanji"": ""彼の車は真っ黒です。"", ""hiragana"": ""かれのくるまはまっくろです。"", ""english"": ""His car is jet black.""}, ""new_words_in_alternative"": [{""word"": ""真っ黒"", ""reading"": ""まっくろ"", ""meaning"": ""jet black"", ""description"": ""Adjective""}]}}",Vocab,10,black; dark,,彼の車は黒いです。,
N5,,,違う,ちがう,Godan verb with 'u' ending,This is different.,"{""vocabulary"": [{""word"": ""これ"", ""reading"": ""これ"", ""meaning"": ""this"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""違う"", ""reading"": ""ちがう"", ""meaning"": ""to be different"", ""role"": ""Verb, dictionary form"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""よ"", ""reading"": ""よ"", ""meaning"": ""[Sentence-ending particle for emphasis]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is used to indicate that something being referred to is not the same as what was previously mentioned or expected. It emphasizes the difference in a casual manner."", ""steps"": [""**これ** - Refers to the subject of the sentence, meaning “this.”"", ""**は** - Marks “これ” as the topic of the sentence."", ""**違う** - The verb meaning “to be different,” indicating a state of being."", ""**よ** - Adds emphasis to the statement, making it more assertive or informative.""], ""sentence_pattern"": ""- [Topic] + [は] + [Verb]\n- **Kanji**: それは違う。\n- **Hiragana**: それはちがう。\n- **English Translation**: That is different."", ""sentence_pattern_kanji"": ""それは違う。"", ""sentence_pattern_hiragana"": ""それはちがう。"", ""sentence_pattern_english"": ""That is different."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which helps clarify what you are talking about. In this case, it highlights “this” as the focus."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は is used to indicate the topic (what is being discussed), while が would typically mark the subject of a sentence."", ""alternative_expression"": {""kanji"": ""これは異なるよ。"", ""hiragana"": ""これはことなるよ。"", ""english"": ""This is different.""}, ""new_words_in_alternative"": [{""word"": ""異なる"", ""reading"": ""ことなる"", ""meaning"": ""to be different"", ""description"": ""Verb, dictionary form""}]}}",Vocab,10,to be different; to differ; to be wrong,,これは違うよ。,
N5,,,易しい,やさしい,I-adjective (keiyoushi),This problem is easy.,"{""vocabulary"": [{""word"": ""この"", ""reading"": ""この"", ""meaning"": ""this"", ""role"": ""Demonstrative adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""問題"", ""reading"": ""もんだい"", ""meaning"": ""problem"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""易しい"", ""reading"": ""やさしい"", ""meaning"": ""easy"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence states that a particular problem is easy. It is a simple declarative sentence that describes the nature of the problem."", ""steps"": [""**この** - Specifies which problem is being referred to, indicating it is close to the speaker."", ""**問題** - The subject of the sentence, meaning “problem.”"", ""**は** - Marks “問題” as the topic of the sentence."", ""**易しい** - Describes the quality of the problem, indicating that it is easy."", ""**です** - A polite ending that functions as the copula, linking the subject to the adjective.""], ""sentence_pattern"": ""- [Demonstrative] + [Noun] + [は] + [Adjective] + [です]\n- **Kanji**: その問題は難しいです。\n- **Hiragana**: そのもんだいはむずかしいです。\n- **English Translation**: That problem is difficult."", ""sentence_pattern_kanji"": ""その問題は難しいです。"", ""sentence_pattern_hiragana"": ""そのもんだいはむずかしいです。"", ""sentence_pattern_english"": ""That problem is difficult."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which is what the sentence is about. In this case, it emphasizes “the problem” being discussed."", ""common_mistake"": ""Beginners often confuse the use of です with other verbs. Remember that です is used to link the subject with a description (like an adjective) in a polite manner."", ""alternative_expression"": {""kanji"": ""この問題は簡単です。"", ""hiragana"": ""このもんだいはかんたんです。"", ""english"": ""This problem is simple.""}, ""new_words_in_alternative"": [{""word"": ""簡単"", ""reading"": ""かんたん"", ""meaning"": ""simple"", ""description"": ""Adjective""}]}}",Vocab,10,"easy, simple",,この問題は易しいです。,
N5,,,電気,でんき,Noun,Please turn on the light.,"{""vocabulary"": [{""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""つけて"", ""reading"": ""つけて"", ""meaning"": ""turn on"", ""role"": ""Verb, te-form"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""ください"", ""reading"": ""ください"", ""meaning"": ""please"", ""role"": ""Polite request expression"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is a polite request asking someone to turn on the light. It is commonly used in everyday situations when someone needs illumination."", ""steps"": [""**電気** - Refers to the light or electricity that is being discussed."", ""**を** - Marks “電気” as the direct object of the verb, indicating what is being acted upon."", ""**つけて** - The te-form of the verb “つける,” which means “to turn on” or “to attach.” The te-form is used here to connect to the following polite request."", ""**ください** - A polite way to make a request, meaning “please.”""], ""sentence_pattern"": ""- [Object] + [を] + [Verb (te-form)] + [ください]\n- **Kanji**: 水を飲んでください。\n- **Hiragana**: みずをのんでください。\n- **English Translation**: Please drink water."", ""sentence_pattern_kanji"": ""水を飲んでください。"", ""sentence_pattern_hiragana"": ""みずをのんでください。"", ""sentence_pattern_english"": ""Please drink water."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the te-form of a verb is often used to make polite requests. It connects the action to the request, making it sound more courteous."", ""common_mistake"": ""Beginners sometimes forget to use the object marker を or confuse it with は. Remember that を is used to indicate the object of the action."", ""alternative_expression"": {""kanji"": ""電気をつけて。"", ""hiragana"": ""でんきをつけて。"", ""english"": ""Turn on the light.""}, ""new_words_in_alternative"": [{""word"": ""つけて"", ""reading"": ""つけて"", ""meaning"": ""turn on"", ""description"": ""Verb, te-form""}]}}",Vocab,10,"electricity, electric light",,電気をつけてください。,
N5,校長(こうちょう): principal; 社長(しゃちょう): company president; 長い(ながい): long,ちょう,,,,,,Kanji,10,long/chief,長,,なが
N5,,,山,やま,Noun,I will climb the mountain.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""山"", ""reading"": ""やま"", ""meaning"": ""mountain"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction/Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""登ります"", ""reading"": ""のぼります"", ""meaning"": ""will climb"", ""role"": ""Verb, non-past form"", ""components"": [{""part"": ""登る"", ""reading"": ""のぼる"", ""meaning"": ""to climb"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's intention to climb a mountain. It indicates a future action, emphasizing the speaker's plan or decision."", ""steps"": [""**私** - Refers to the subject of the sentence, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**山** - Indicates the object of the action, which is the mountain."", ""**に** - Indicates the direction or destination of the action, meaning “to.”"", ""**登ります** - The polite non-past form of “登る,” indicating the action of climbing in the future.""], ""sentence_pattern"": ""- [Subject] + [は] + [Object/Location] + [に] + [Verb (non-past)]\n- **Kanji**: 彼は学校に行きます。\n- **Hiragana**: かれはがっこうにいきます。\n- **English Translation**: He will go to school."", ""sentence_pattern_kanji"": ""彼は学校に行きます。"", ""sentence_pattern_hiragana"": ""かれはがっこうにいきます。"", ""sentence_pattern_english"": ""He will go to school."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while に indicates the direction or destination of the action. This structure helps clarify what you are doing and where you are going."", ""common_mistake"": ""Beginners often confuse the use of に and へ. While both can indicate direction, に is used for specific destinations, while へ is more general."", ""alternative_expression"": {""kanji"": ""私は山を登ります。"", ""hiragana"": ""わたしはやまをのぼります。"", ""english"": ""I will climb the mountain.""}, ""new_words_in_alternative"": [{""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""description"": ""Particle""}]}}",Vocab,10,mountain,,私は山に登ります。,
