JLPT,Example Words,Onyomi,Word,Reading,Word Type,Example Sentence EN,breakdown,type,Lesson,Meaning,Kanji,Example Sentence JP,Kunyomi
N5,,,高い,たかい,I-adjective (keiyoushi),This mountain is tall.,"{""vocabulary"": [{""word"": ""この"", ""reading"": ""この"", ""meaning"": ""this"", ""role"": ""Demonstrative adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""山"", ""reading"": ""やま"", ""meaning"": ""mountain"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""高い"", ""reading"": ""たかい"", ""meaning"": ""tall"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes a specific mountain, indicating that it has a tall height. It provides a straightforward statement about the mountain's characteristics."", ""steps"": [""**この** - Specifies which mountain is being referred to, indicating proximity."", ""**山** - The subject of the sentence, meaning \""mountain.\"""", ""**は** - Marks “山” as the topic of the sentence."", ""**高い** - Describes the mountain, indicating its height."", ""**です** - A polite ending that functions as the verb \""to be,\"" affirming the statement.""], ""sentence_pattern"": ""- [Demonstrative] + [Noun] + [は] + [Adjective] + [です]\n- **Kanji**: あの山は高いです。\n- **Hiragana**: あのやまはたかいです。\n- **English Translation**: That mountain is tall."", ""sentence_pattern_kanji"": ""あの山は高いです。"", ""sentence_pattern_hiragana"": ""あのやまはたかいです。"", ""sentence_pattern_english"": ""That mountain is tall."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that この indicates something close to the speaker, while あの refers to something farther away. This helps clarify which object you are talking about."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は is used to mark the topic of the sentence (the mountain), while が is typically used for the subject of a sentence."", ""alternative_expression"": {""kanji"": ""この山は背が高いです。"", ""hiragana"": ""このやまはせがたかいです。"", ""english"": ""This mountain is tall (in terms of height).""}, ""new_words_in_alternative"": [{""word"": ""背"", ""reading"": ""せ"", ""meaning"": ""height"", ""description"": ""Noun""}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""description"": ""Particle""}]}}",Vocab,4,"tall, high; expensive",,この山は高いです。,
N5,,,窓,まど,Noun,Please open the window.,"{""vocabulary"": [{""word"": ""窓"", ""reading"": ""まど"", ""meaning"": ""window"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""開けて"", ""reading"": ""あけて"", ""meaning"": ""open"", ""role"": ""Verb, te-form"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""ください"", ""reading"": ""ください"", ""meaning"": ""please"", ""role"": ""Polite request expression"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is a polite request asking someone to open a window. It is often used in everyday situations where one might want fresh air or to let light in."", ""steps"": [""**窓** - Refers to the object of the action, which is the window."", ""**を** - Marks “窓” as the direct object of the verb, indicating what is being acted upon."", ""**開けて** - The te-form of the verb “開ける” (to open), used here to connect to the following polite request."", ""**ください** - A polite way to ask someone to do something, translating to “please.”""], ""sentence_pattern"": ""- [Object] + [を] + [Verb (te-form)] + [ください]\n- **Kanji**: ドアを開けてください。\n- **Hiragana**: どあをあけてください。\n- **English Translation**: Please open the door."", ""sentence_pattern_kanji"": ""ドアを開けてください。"", ""sentence_pattern_hiragana"": ""どあをあけてください。"", ""sentence_pattern_english"": ""Please open the door."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the te-form of a verb is often used to make requests in Japanese. Pairing it with ください makes your request polite and clear."", ""common_mistake"": ""Beginners might forget to use the object marker を, which is essential for indicating what is being opened. Always check that you have the correct particle for the object."", ""alternative_expression"": {""kanji"": ""窓を開けてくれませんか。"", ""hiragana"": ""まどをあけてくれませんか。"", ""english"": ""Could you please open the window?""}, ""new_words_in_alternative"": [{""word"": ""くれませんか"", ""reading"": ""くれませんか"", ""meaning"": ""could you please"", ""description"": ""Polite request expression""}]}}",Vocab,4,A structure in a wall that allows light and air to enter a room.,,窓を開けてください。,
N5,,,掛ける,かける,Ichidan verb,He is wearing glasses.,"{""vocabulary"": [{""word"": ""彼"", ""reading"": ""かれ"", ""meaning"": ""he"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""眼鏡"", ""reading"": ""めがね"", ""meaning"": ""glasses"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""掛けています"", ""reading"": ""かけています"", ""meaning"": ""is wearing"", ""role"": ""Verb, present continuous"", ""components"": [{""part"": ""います"", ""reading"": ""います"", ""meaning"": ""is"", ""contribution"": ""Auxiliary verb, present continuous form""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes a situation where a male individual is currently wearing glasses. It emphasizes the action of wearing as a present continuous state."", ""steps"": [""**彼** - Refers to the subject of the sentence, meaning “he.”"", ""**は** - Marks “彼” as the topic of the sentence."", ""**眼鏡** - Indicates the object being worn, which is “glasses.”"", ""**を** - Marks “眼鏡” as the object of the verb."", ""**掛けています** - The present continuous form of “掛ける,” indicating that he is in the process of wearing glasses.""], ""sentence_pattern"": ""- [Subject] + [は] + [Object] + [を] + [Verb (present continuous)]\n- **Kanji**: 彼は帽子を被っています。\n- **Hiragana**: かれはぼうしをかぶっています。\n- **English Translation**: He is wearing a hat."", ""sentence_pattern_kanji"": ""彼は帽子を被っています。"", ""sentence_pattern_hiragana"": ""かれはぼうしをかぶっています。"", ""sentence_pattern_english"": ""He is wearing a hat."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while を marks the object of the action. This helps clarify who is doing what in the sentence."", ""common_mistake"": ""Beginners often confuse the use of を and が. In this context, を is used to indicate the object (glasses) that is being worn, while が is typically used for the subject of a sentence."", ""alternative_expression"": {""kanji"": ""彼は眼鏡をしています。"", ""hiragana"": ""かれはめがねをしています。"", ""english"": ""He is wearing glasses.""}, ""new_words_in_alternative"": [{""word"": ""している"", ""reading"": ""している"", ""meaning"": ""is doing"", ""description"": ""Verb, present continuous""}]}}",Vocab,4,"to put on (e.g., glasses); to hang (e.g., on a wall)",,彼は眼鏡を掛けています。,
N5,,,暗い,くらい,I-adjective (keiyoushi),The room is dark.,"{""vocabulary"": [{""word"": ""部屋"", ""reading"": ""へや"", ""meaning"": ""room"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""暗い"", ""reading"": ""くらい"", ""meaning"": ""dark"", ""role"": ""Adjective, i-adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes the state of a room, indicating that it lacks light. It provides a simple observation about the room's condition."", ""steps"": [""**部屋** - Refers to the subject of the sentence, which is the room."", ""**が** - Marks “部屋” as the subject of the sentence."", ""**暗い** - An i-adjective that describes the state of the room, meaning “dark.”"", ""**です** - A polite ending used to affirm the statement, functioning as the copula.""], ""sentence_pattern"": ""- [Subject] + [が] + [Adjective] + [です]\n- **Kanji**: 猫がかわいいです。\n- **Hiragana**: ねこがかわいいです。\n- **English Translation**: The cat is cute."", ""sentence_pattern_kanji"": ""猫がかわいいです。"", ""sentence_pattern_hiragana"": ""ねこがかわいいです。"", ""sentence_pattern_english"": ""The cat is cute."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the subject marker が is used to identify the subject of the sentence, while です is used to make the statement polite. This structure is common in Japanese sentences."", ""common_mistake"": ""Beginners often confuse the use of が and は. In this case, が is appropriate because it emphasizes the subject (the room) and its state (dark)."", ""alternative_expression"": {""kanji"": ""部屋は暗いです。"", ""hiragana"": ""へやはくらいです。"", ""english"": ""The room is dark.""}, ""new_words_in_alternative"": [{""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""description"": ""Particle""}]}}",Vocab,4,"dark, gloomy",,部屋が暗いです。,
N5,,,風,かぜ,Noun,The wind is strong today.,"{""vocabulary"": [{""word"": ""今日"", ""reading"": ""きょう"", ""meaning"": ""today"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""風"", ""reading"": ""かぜ"", ""meaning"": ""wind"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""強い"", ""reading"": ""つよい"", ""meaning"": ""strong"", ""role"": ""Adjective, i-adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes the weather condition for the day, specifically noting that the wind is strong. It provides a simple observation about the current state of the environment."", ""steps"": [""**今日** - Refers to the current day, marking the time reference."", ""**は** - Marks “今日” as the topic of the sentence, indicating what we are talking about."", ""**風** - Refers to the subject of the sentence, which is the wind."", ""**が** - Marks “風” as the subject of the descriptive statement."", ""**強い** - An i-adjective that describes the wind, indicating its strength."", ""**です** - A polite ending that functions as the copula, linking the subject to the adjective.""], ""sentence_pattern"": ""- [Topic] + [は] + [Subject] + [が] + [Adjective] + [です]\n- **Kanji**: 今日は風が強いです。\n- **Hiragana**: きょうはかぜがつよいです。\n- **English Translation**: The wind is strong today."", ""sentence_pattern_kanji"": ""今日は風が強いです。"", ""sentence_pattern_hiragana"": ""きょうはかぜがつよいです。"", ""sentence_pattern_english"": ""The wind is strong today."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while が marks the subject. In this case, we are talking about \""today\"" as the topic and \""the wind\"" as the subject being described."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は is used to introduce the topic (today), while が is used to specify the subject (the wind) that is being described."", ""alternative_expression"": {""kanji"": ""今日は風が強いですね。"", ""hiragana"": ""きょうはかぜがつよいですね。"", ""english"": ""The wind is strong today, isn't it?""}, ""new_words_in_alternative"": [{""word"": ""ね"", ""reading"": ""ね"", ""meaning"": ""[Sentence-ending particle]"", ""description"": ""Particle""}]}}",Vocab,4,"wind, breeze",,今日は風が強いです。,
N5,,,着る,きる,Ichidan verb,I put on a shirt.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""シャツ"", ""reading"": ""しゃつ"", ""meaning"": ""shirt"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""着る"", ""reading"": ""きる"", ""meaning"": ""put on"", ""role"": ""Verb, dictionary form"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes a simple action where the speaker is putting on a shirt. It conveys a straightforward daily activity."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**シャツ** - Indicates the object of the action, which is the shirt."", ""**を** - Marks “シャツ” as the direct object of the verb."", ""**着る** - The dictionary form of the verb meaning “to wear” or “to put on.”""], ""sentence_pattern"": ""- [Topic] + [は] + [Object] + [を] + [Verb (dictionary form)]\n- **Kanji**: 彼はコートを着る。\n- **Hiragana**: かれはこーとをきる。\n- **English Translation**: He puts on a coat."", ""sentence_pattern_kanji"": ""彼はコートを着る。"", ""sentence_pattern_hiragana"": ""かれはこーとをきる。"", ""sentence_pattern_english"": ""He puts on a coat."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while を marks the direct object. This structure helps clarify who is doing the action and what is being acted upon."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は is used to indicate the topic (the speaker), while が would typically be used to emphasize the subject in a different context."", ""alternative_expression"": {""kanji"": ""私はシャツを着ます。"", ""hiragana"": ""わたしはしゃつをきます。"", ""english"": ""I will put on a shirt.""}, ""new_words_in_alternative"": [{""word"": ""着ます"", ""reading"": ""きます"", ""meaning"": ""will put on"", ""description"": ""Verb, polite form""}]}}",Vocab,4,to put on (clothes above your waist); to wear,,私はシャツを着る。,
N5,,,弱い,よわい,I-adjective (keiyoushi),He is weak.,"{""vocabulary"": [{""word"": ""彼"", ""reading"": ""かれ"", ""meaning"": ""he"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""弱い"", ""reading"": ""よわい"", ""meaning"": ""weak"", ""role"": ""Adjective, i-adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes a characteristic of a male subject, indicating that he possesses the quality of being weak. It is a straightforward statement about his state or condition."", ""steps"": [""**彼** - Refers to the subject of the sentence, meaning \""he.\"""", ""**は** - Marks “彼” as the topic of the sentence."", ""**弱い** - An i-adjective that describes the subject, meaning \""weak.\"""", ""**です** - A polite ending that functions as the copula, linking the subject to the adjective.""], ""sentence_pattern"": ""- [Subject] + [は] + [Adjective] + [です]\n- **Kanji**: 彼は強いです。\n- **Hiragana**: かれはつよいです。\n- **English Translation**: He is strong."", ""sentence_pattern_kanji"": ""彼は強いです。"", ""sentence_pattern_hiragana"": ""かれはつよいです。"", ""sentence_pattern_english"": ""He is strong."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which is often the subject but can also be used for emphasis. In this case, it emphasizes that \""he\"" is the one being described as weak."", ""common_mistake"": ""Beginners often confuse the use of です with other forms of \""to be.\"" In Japanese, です is used for politeness and is typically placed at the end of the sentence."", ""alternative_expression"": {""kanji"": ""彼は弱いと思います。"", ""hiragana"": ""かれはよわいとおもいます。"", ""english"": ""I think he is weak.""}, ""new_words_in_alternative"": [{""word"": ""と思います"", ""reading"": ""とおもいます"", ""meaning"": ""I think"", ""description"": ""Phrase""}]}}",Vocab,4,weak,,彼は弱いです。,
N5,,,熱い,あつい,I-adjective (keiyoushi),This tea is hot.,"{""vocabulary"": [{""word"": ""この"", ""reading"": ""この"", ""meaning"": ""this"", ""role"": ""Demonstrative adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""お茶"", ""reading"": ""おちゃ"", ""meaning"": ""tea"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""熱い"", ""reading"": ""あつい"", ""meaning"": ""hot"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Copula]"", ""role"": ""Sentence-ending particle"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes the state of a specific type of tea, indicating that it is hot. It is a simple statement about the temperature of the tea."", ""steps"": [""**この** - Specifies which tea is being referred to, indicating it is nearby or currently relevant."", ""**お茶** - The subject of the sentence, which is the tea."", ""**は** - Marks “お茶” as the topic of the sentence."", ""**熱い** - Describes the state of the tea, indicating that it is hot."", ""**です** - A polite ending particle that functions as a copula, linking the subject to the adjective.""], ""sentence_pattern"": ""- [Demonstrative] + [Noun] + [は] + [Adjective] + [です]\n- **Kanji**: その水は冷たいです。\n- **Hiragana**: そのみずはつめたいです。\n- **English Translation**: That water is cold."", ""sentence_pattern_kanji"": ""その水は冷たいです。"", ""sentence_pattern_hiragana"": ""そのみずはつめたいです。"", ""sentence_pattern_english"": ""That water is cold."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which helps clarify what you are talking about. In this case, it emphasizes \""this tea.\"""", ""common_mistake"": ""Beginners often confuse です with other forms of the verb \""to be.\"" Remember that です is used in polite speech to link the subject to its description."", ""alternative_expression"": {""kanji"": ""このお茶は熱いよ。"", ""hiragana"": ""このおちゃはあついよ。"", ""english"": ""This tea is hot (informal).""}, ""new_words_in_alternative"": [{""word"": ""よ"", ""reading"": ""よ"", ""meaning"": ""[Sentence-ending particle]"", ""description"": ""Particle""}]}}",Vocab,4,"hot (to the touch, objects)",,このお茶は熱いです。,
N5,,,靴下,くつした,Noun,I bought new socks.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""新しい"", ""reading"": ""あたらしい"", ""meaning"": ""new"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""靴下"", ""reading"": ""くつした"", ""meaning"": ""socks"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""買いました"", ""reading"": ""かいました"", ""meaning"": ""bought"", ""role"": ""Verb, past tense"", ""components"": [{""part"": ""買う"", ""reading"": ""かう"", ""meaning"": ""to buy"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes a completed action where the speaker has purchased a new pair of socks. It conveys a straightforward statement about a recent activity."", ""steps"": [""**私** - Refers to the speaker, marking them as the subject of the sentence."", ""**は** - Marks “私” as the topic of the sentence."", ""**新しい** - Describes the noun “靴下” as being new."", ""**靴下** - The object of the action, meaning “socks.”"", ""**を** - Marks “靴下” as the direct object of the verb."", ""**買いました** - The past tense of “買う,” indicating that the action of buying has been completed.""], ""sentence_pattern"": ""- [Subject] + [は] + [Adjective] + [Noun] + [を] + [Verb (past tense)]\n- **Kanji**: 彼は新しい本を読みました。\n- **Hiragana**: かれはあたらしいほんをよみました。\n- **English Translation**: He read a new book."", ""sentence_pattern_kanji"": ""彼は新しい本を読みました。"", ""sentence_pattern_hiragana"": ""かれはあたらしいほんをよみました。"", ""sentence_pattern_english"": ""He read a new book."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which helps to clarify who is performing the action. In this case, it is the speaker who bought the socks."", ""common_mistake"": ""Beginners might confuse を with は. Remember that を is used to mark the direct object of the verb, while は indicates the topic of the sentence."", ""alternative_expression"": {""kanji"": ""私は新しい靴下を買った。"", ""hiragana"": ""わたしはあたらしいくつしたをかった。"", ""english"": ""I bought new socks. (using the casual past tense)""}, ""new_words_in_alternative"": [{""word"": ""買った"", ""reading"": ""かった"", ""meaning"": ""bought"", ""description"": ""Verb, casual past tense""}]}}",Vocab,4,socks,,私は新しい靴下を買いました。,
N5,元気(げんき): healthy; 天気(てんき): weather; 気分(きぶん): mood,き,,,,,,Kanji,4,spirit/air,気,,いき
